id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
a0000433,   433 Eros (1898 DQ),Y,N,0.148623,0.2229512543292728,1.458045728845658,1.132972604730079,10.83054270817127,16.84,0.25,AMO,10.4,S
a0000887,   887 Alinda (1918 DB),Y,N,0.0822169,0.5703317209528221,2.473736933344562,1.062886290965601,9.393853627381493,4.2,0.31,AMO,13.8,S
a0001036,  1036 Ganymed (1924 TD),Y,N,0.344956,0.5330461318945989,2.664724624129541,1.244303470673,26.67764314200324,37.675,0.238,AMO,9.4,S
a0001566,  1566 Icarus (1949 MA),Y,Y,0.0342447,0.8270213269059251,1.078168924000127,0.1865002298448085,22.82211332714178,1.0,0.51,APO,16.9,M
a0001580,  1580 Betulia (1950 KA),Y,N,0.136136,0.4873502364761739,2.197150031438465,1.126368444043296,52.09207037962277,5.8,0.08,AMO,14.7,C
a0001620,  1620 Geographos (1951 RA),Y,Y,0.0303535,0.3354548020109591,1.245666863784177,0.8278019326218434,13.3370434846758,2.56,0.29,APO,15.3,S
a0001627,  1627 Ivar (1929 SH),Y,N,0.111952,0.3967830584211662,1.863272945035357,1.123957807230815,8.451869829201128,9.12,0.15,AMO,12.7,S
a0001685,  1685 Toro (1948 OA),Y,N,0.0506645,0.4358371095351947,1.367586471763582,0.7715415368707073,9.38313202457519,3.4,0.31,APO,14.3,S
a0001862,  1862 Apollo (1932 HA),Y,Y,0.0258141,0.5599167398990702,1.470345437077941,0.6470744134237867,6.35473160977809,1.5,0.25,APO,16.25,S
a0001863,  1863 Antinous (1948 EA),Y,N,0.182709,0.6065072158844008,2.25841153066709,0.888668640880965,18.40043539987664,2.1,0.24,APO,15.3,S
a0001864,  1864 Daedalus (1971 FA),Y,N,0.269089,0.6144701471693611,1.460916421406999,0.563226892942904,22.21196021633772,3.7,0.273,APO,14.7,S
a0001865,  1865 Cerberus (1971 UA),Y,N,0.156542,0.4668530872323081,1.079993935235791,0.5757954323787924,16.09595153284522,1.2,0.22,APO,16.7,S
a0001866,  1866 Sisyphus (1972 XA),Y,N,0.104589,0.5380833048396872,1.893699209973506,0.8747312806986572,41.19929077256851,8.48,0.15,APO,12.4,S
a0001915,  1915 Quetzalcoatl (1953 EA),Y,N,0.10802,0.5705651799672322,2.543415980989979,1.092231384064897,20.40461297143561,0.5,0.21,AMO,18.97,S
a0001917,  1917 Cuyo (1968 AA),Y,N,0.0727329,0.5055075495391738,2.149076811685362,1.062702258838834,23.95916212632452,5.7,0.195,AMO,14.3,S
a0001943,  1943 Anteros (1973 EC),Y,N,0.0623068,0.2559951667053227,1.430462184139215,1.064270778844837,8.706205566935322,2.3,0.17,AMO,15.6,S
a0001980,  1980 Tezcatlipoca (1950 LA),Y,N,0.245963,0.3645634487547003,1.709577917567304,1.086328296024089,26.86722511059119,4.3,0.25,AMO,13.8,S
a0002062,  2062 Aten (1976 AA),Y,N,0.113146,0.1827171340905242,0.9667898316324988,0.790140764328748,18.93368681084476,1.1,0.26,ATE,17.1,S
a0002100,  2100 Ra-Shalom (1978 RA),Y,N,0.150184,0.4365426452964736,0.8320476102774403,0.4688233454743172,15.75298268302562,2.3,0.13,ATE,16.3,C
a0002102,  2102 Tantalus (1975 YA),Y,Y,0.0434654,0.2991482374371164,1.290150777373146,0.9042044462938438,64.00699255328968,1.649,0.245,APO,16.0,S
a0002201,  2201 Oljato (1947 XC),Y,Y,0.00312534,0.7128855212674332,2.174083942076455,0.6242109777501252,2.522429202495983,1.8,0.4328,APO,15.3,M
a0002212,  2212 Hephaistos (1978 SB),Y,N,0.115888,0.8376667029769949,2.159195571056765,0.350509335967115,11.55177461309936,5.7,0.163,APO,13.3,S
a0002368,  2368 Beltrovata (1977 RA),Y,N,0.233199,0.4133577609202115,2.105121146025348,1.234952982638521,5.223636168557607,2.3,0.27,AMO,15.1,S
a0002608,  2608 Seneca (1978 DA),Y,N,0.132428,0.5709673236567876,2.516282772678057,1.079567532398386,14.67274945506941,0.9,0.21,AMO,17.52,S
a0003103,  3103 Eger (1982 BB),Y,N,0.0798354,0.3541491796984173,1.404234014661065,0.9069256902642332,20.93088089986864,1.5,0.64,APO,15.2,M
a0003122,  3122 Florence (1981 ET3),Y,Y,0.0453329,0.4229445910453244,1.768974947335498,1.020796561665261,22.14249624858464,4.9,0.231,AMO,14.0,S
a0003199,  3199 Nefertiti (1982 RA),Y,N,0.216441,0.2839877521113218,1.574480939978548,1.127347637091919,32.96249953498466,2.2,0.42,AMO,14.8,M
a0003200,  3200 Phaethon (1983 TB),Y,Y,0.0194361,0.8898311206936256,1.271367884101982,0.1400651749776319,22.25951171307781,6.25,0.1066,APO,14.3,C
a0003288,  3288 Seleucus (1982 DV),Y,N,0.102002,0.4561159444253455,2.033178573895787,1.105813408477933,5.929926313885356,2.8,0.22,AMO,15.2,S
a0003360,  3360 Syrinx (1981 VA),Y,N,0.108775,0.7461017373561634,2.465440309474676,0.6259710112277033,21.16213460187942,1.8,0.17,APO,15.9,S
a0003361,  3361 Orpheus (1982 HR),Y,Y,0.0135908,0.3227518287938224,1.209662179045708,0.8192414985359853,2.685064208145241,0.3,0.357,APO,19.03,M
a0003362,  3362 Khufu (1984 QA),Y,Y,0.0135341,0.4684786225760869,0.9895240677031432,0.5259531954596882,9.91690600813587,0.7,0.21,ATE,18.3,S
a0003551,  3551 Verenia (1983 RD),Y,N,0.0759261,0.4868495603158827,2.092937414612989,1.073991754539995,9.50709497807671,0.9,0.37,AMO,16.6,M
